date,smb,hml,umd,rf,rm,rmrf,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,XS1,XS2,XS3,XS4,XS5,XS6,XS7,XS8,XS9,XS10,XS1_W,XS2_W,XS3_W,XS4_W,XS5_W,XS5_W,XS6_W,XS7_W,XS8_W,XS9_W,XS10_W
1981-10-01,0.0062188,-0.0145637,-0.0224058,0.0121988,0.0335505,0.0213517,0.0375813,0.0098002,0.0172251,0.0195567,0.0202969,0.0156497,0.0264214,0.0226786,0.0245173,0.0284487,0.0253825,-0.0023986,0.0050263,0.0073579,0.0080981,0.0034509,0.0142226,0.0104798,0.0123185,0.0162499,0.0253825,-0.0023986,0.0050263,0.0073579,0.0080981,0.0080981,0.0034509,0.0142226,0.0104798,0.0123185,0.0162499
1981-11-01,-0.0383248,0.0208289,0.010009,0.0107996,0.1060554,0.0952558,0.0494705,0.0570719,0.0561911,0.0273345,0.0653576,0.0615522,0.0625305,0.1081202,0.1226048,0.1152149,0.0386709,0.0462723,0.0453915,0.0165349,0.054558,0.0507526,0.0517309,0.0973206,0.1118052,0.1044153,0.0386709,0.0462723,0.0453915,0.0165349,0.054558,0.054558,0.0507526,0.0517309,0.0973206,0.1118052,0.1044153
1981-12-01,0.0287292,0.020148,0.0170311,0.0115579,-0.0014989,-0.0130568,0.0194971,0.0284055,0.0203166,0.049349,0.0296369,0.0411901,0.0151216,0.0174595,0.0191309,-0.0131995,0.0079392,0.0168476,0.0087587,0.0377911,0.018079,0.0296322,0.0035637,0.0059016,0.007573,-0.0247574,0.0079392,0.0168476,0.0087587,0.0377911,0.018079,0.018079,0.0296322,0.0035637,0.0059016,0.007573,-0.0247574
1982-01-01,0.0151891,0.0308852,0.0127488,0.0106143,0.0618365,0.0512223,0.0557002,0.0616843,0.0736566,0.0669684,0.0629746,0.074256,0.0868063,0.0805945,0.0902417,0.0581769,0.0450859,0.05107,0.0630423,0.0563541,0.0523603,0.0636417,0.076192,0.0699802,0.0796274,0.0475626,0.0450859,0.05107,0.0630423,0.0563541,0.0523603,0.0523603,0.0636417,0.076192,0.0699802,0.0796274,0.0475626
1982-02-01,0.0305132,-0.0076212,0.030266,0.0104458,-0.0376721,-0.0481179,0.0002074,-0.0240199,-0.0158045,-0.0207382,0.00317,0.0005921,-0.0108568,-0.0135329,-0.0238773,-0.044047,-0.0102384,-0.0344657,-0.0262503,-0.031184,-0.0072758,-0.0098537,-0.0213026,-0.0239787,-0.0343231,-0.0544928,-0.0102384,-0.0344657,-0.0262503,-0.031184,-0.0072758,-0.0072758,-0.0098537,-0.0213026,-0.0239787,-0.0343231,-0.0544928
1982-03-01,-0.014977,-0.0309787,-0.012317,0.0098734,0.0356197,0.0257463,0.0247487,0.0123722,0.0003923,0.0262205,0.0186478,0.0404591,0.038241,0.0285683,0.0506522,0.0475832,0.0148753,0.0024988,-0.0094811,0.0163471,0.0087744,0.0305857,0.0283676,0.0186949,0.0407788,0.0377098,0.0148753,0.0024988,-0.0094811,0.0163471,0.0087744,0.0087744,0.0305857,0.0283676,0.0186949,0.0407788,0.0377098
1982-04-01,-0.0146254,-0.0138705,-0.0048224,0.0102185,0.0094443,-0.0007742,-0.0108908,-0.0157757,0.0077341,-0.0059417,-0.0028857,-0.0065249,-0.0145131,0.0025772,0.01467,0.017434,-0.0211093,-0.0259942,-0.0024844,-0.0161602,-0.0131042,-0.0167434,-0.0247316,-0.0076413,0.0044515,0.0072155,-0.0211093,-0.0259942,-0.0024844,-0.0161602,-0.0131042,-0.0131042,-0.0167434,-0.0247316,-0.0076413,0.0044515,0.0072155
1982-05-01,-0.0038783,-0.0148719,0.0336738,0.0099912,0.0334472,0.0234559,0.0109576,0.0217387,0.0038479,0.0152585,0.0163735,0.0423086,0.0277792,0.017104,0.0184452,0.0283231,0.0009664,0.0117475,-0.0061433,0.0052673,0.0063823,0.0323174,0.017788,0.0071128,0.008454,0.0183319,0.0009664,0.0117475,-0.0061433,0.0052673,0.0063823,0.0063823,0.0323174,0.017788,0.0071128,0.008454,0.0183319
1982-06-01,-0.0059354,-0.0109816,0.0399381,0.0096883,-0.0386339,-0.0483222,-0.0234375,-0.0088296,-0.021888,-0.0479437,-0.0330469,-0.0299409,-0.0401517,-0.05119,-0.0356363,-0.0429093,-0.0331258,-0.0185179,-0.0315763,-0.057632,-0.0427352,-0.0396292,-0.04984,-0.0608783,-0.0453246,-0.0525976,-0.0331258,-0.0185179,-0.0315763,-0.057632,-0.0427352,-0.0427352,-0.0396292,-0.04984,-0.0608783,-0.0453246,-0.0525976
1982-07-01,-0.0010531,-0.0434584,0.0164994,0.0087968,0.0394586,0.0306618,0.0017083,0.0049472,-0.0013406,0.0211867,0.0114106,0.0271164,0.0100541,0.0384813,0.0427562,0.0264398,-0.0070885,-0.0038496,-0.0101374,0.0123899,0.0026138,0.0183196,0.0012573,0.0296845,0.0339594,0.017643,-0.0070885,-0.0038496,-0.0101374,0.0123899,0.0026138,0.0026138,0.0183196,0.0012573,0.0296845,0.0339594,0.017643
